param,mult,value,r_star,c_star,dr_dalpha,dc_dbeta,dr_dbeta,dc_dalpha,tau_priv,tau_soc,wedge
beta,0.25,1.0,0.2528295828916752,0.10339510461526427,-0.4662902042039392,-0.44848284748749645,0.20676803394231538,0.13705624317354795,0.25,0.25,0.0
beta,0.5,1.2000000000000002,0.2958232807705868,0.025985517993211926,-0.4668228372511615,-0.3299697762747703,0.2187793554974551,0.10178957218765418,0.3500000000000001,0.3500000000000001,0.0
sigma,-0.5,0.25,0.31055394723235435,0.298132146639536,-0.4183951892599677,-0.5311349111554923,0.10020849783109885,0.10020867356910876,0.5500000000000003,0.5500000000000003,0.0
sigma,-0.25,0.375,0.249468600895868,0.23949003997530666,-0.4317910038972907,-0.5604865688535899,0.14599055200847452,0.14599063528398168,0.3500000000000001,0.3500000000000001,0.0
sigma,0.25,0.625,0.2035991264203527,0.1954551818534831,-0.47404938386336565,-0.6122019199602153,0.14945741367894255,0.149457421164769,1.5,1.0500000000000003,0.44999999999999973
sigma,0.5,0.75,0.20975568238126113,0.20136529616683344,-0.49432942221688925,-0.6291779962296115,0.12407845383805509,0.12407840420310176,1.6500000000000004,1.1500000000000004,0.5
H,-0.5,125.0,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.9500000000000002,-0.8000000000000003
H,-0.25,187.5,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.9500000000000002,-0.8000000000000003
H,0.25,312.5,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
H,0.5,375.0,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
F,-0.5,20.0,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
F,-0.25,30.0,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
F,0.25,50.0,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,1.35,0.9500000000000002,0.3999999999999999
F,0.5,60.0,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,1.4000000000000004,1.0,0.40000000000000036
xi,-0.5,30.0,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
xi,-0.25,45.0,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
xi,0.25,75.0,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
xi,0.5,90.0,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
zeta,-0.5,22.5,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
zeta,-0.25,33.75,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
zeta,0.25,56.25,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
zeta,0.5,67.5,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
cD,-0.5,1.5,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
cD,-0.25,2.25,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
cD,0.25,3.75,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
cD,0.5,4.5,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
