cos2_sigma0,emp_ratio_d2
0.09709107549504227,0.07484813300452435
0.03623631049275284,0.0945188269060726
0.4751601578279284,0.37366930109207164
0.11559594133322547,0.08319939216011737
0.023512978678799965,0.03073354509125599
0.13220506344189695,0.06296415138641281
0.4548825715088428,0.4738519798633042
0.14976764956964828,0.052378338351759035
0.08562733445903697,0.055107292242271816
0.2785616188586489,0.2575887804027595
0.03340685045663261,0.13028883774616176
0.0881866744063933,0.01761077446049957
0.044364337553643475,0.00026020667714404187
0.040096183976466006,0.10953934753000984
0.034732629462519156,0.1044303355976763
0.04416280726142006,0.04525472700540744
0.5095859104548086,0.4393235525922876
0.0073708872105105105,0.012415989785020183
0.43454970230938533,0.4118594963891164
0.04070705923125368,0.009474432748939025
0.13596714025378934,0.13715249375000207
0.04083831496835486,0.08626261072679509
0.1426537698049349,0.22084522598216128
0.31379574121038273,0.327991249856602
0.02242288266400972,0.14437516153321864
0.02464499699955592,0.03313920117609403
0.24310980041974822,0.11548619651457068
0.09511542009992967,0.04829283752748646
0.235322766575387,0.2039832050773167
0.031579770163483914,0.1082595363046868
0.3830185604029533,0.28309904757443843
0.49982083808032746,0.5172197447508771
0.04054021661289834,0.00638465326613119
0.17228779719819629,0.04063736846297145
0.00010979188577553867,0.00925259246329036
0.02389347165032603,0.008959851084198344
0.1760591589099158,0.06951909262412306
0.33996460292800235,0.31244069773159816
0.2984606938558334,0.40489599518474567
0.04535512444656607,0.004918377927046469
0.0031564982806936838,0.01529303227092804
0.027882058327178633,0.00016246673025072447
0.014551020199809781,0.0006297914684830636
0.00781680650587192,0.030496209585503368
0.21830560726740836,0.12867727624675743
4.91543455605871e-05,0.0004645577376614296
0.005510076732932918,0.05749843826492449
0.2651773236007456,0.34455058925188303
9.823594942885449e-05,0.016064100064927315
0.005190595423966619,0.04875833103058804
0.09458756029141159,0.012119753034061941
0.3547234106695674,0.3788599307854359
0.03798255595780133,0.012481687023493414
0.0025354245907540478,0.016569708756318045
0.03700727838617707,0.005227966270256111
0.08493404892751592,0.00874957751316583
0.1127517935729401,0.031161254670081528
0.03845262606747802,0.038649441803865564
0.0035734062310017094,0.06679728922085204
0.2767487175749476,0.10393432076109792
0.06416342942637972,0.17419436586829581
0.54650577548354,0.3336108982218111
0.14097631027923702,0.1653308156613299
4.780915810788944e-07,0.0008281328300625674
0.006751444665159967,0.024415539613793107
0.24928782848988015,0.3336096783686482
0.31346148648313643,0.2698999123049867
0.019426101543101638,1.2984060577489198e-05
0.1904971402611735,0.31939479251313024
0.0451129945857067,0.012905554795576046
0.16808475305664003,0.10972931296858136
0.21477797725252115,0.2071675422741595
0.48842898407087565,0.4078044660883102
0.16996960432993174,0.1854346331497723
0.03806505249759631,0.10483356429802893
0.4274526584610307,0.2956208998048099
0.0060436784977645555,0.03220697326816253
0.0916872668706659,0.10644495899223189
9.850045124315923e-05,0.045514754324409816
0.4063693513251216,0.4530760216451514
0.07664529423597055,0.0392072048131038
0.11807142891583887,0.06093416467616378
0.17919270685839725,0.09572410580806366
0.2480623645600575,0.26415029719257904
0.19726314205122647,0.082756059459368
0.3997385204863858,0.2800201678617723
0.406968004399601,0.3062683409643355
0.011272853970219123,0.05378825028041428
0.046106345651788345,0.037519172317334475
0.013377183063921182,0.013447890977981065
0.5702594564460233,0.6061896842524106
0.034508860236358484,0.07435365054850533
0.014042186209450979,0.04540123686227228
0.019139203536948743,0.0017085869301616252
0.0863804218470676,0.13701318766758813
0.2454933904105911,0.14353468067199715
0.465045178749378,0.460730512552248
0.09756342712301484,0.21265573403640495
0.09033019302004193,0.18707458744858743
0.05633405234730098,0.008849552645666616
0.006830570070602317,0.011983865032492162
0.17132639988316137,0.10511192601587761
0.5005228544654956,0.39748367553179914
0.3174657603161232,0.24780184562660654
0.008428741558732541,0.07149041782559286
0.0004670732947308547,0.013885714033328795
0.0002458549944571241,0.022543148415755433
0.05315893247981806,0.09700377987865869
0.06296365800041777,0.0177757243506546
0.05673819168869883,0.10369279067474792
0.05294755088633509,0.0349619350635954
0.06530346203801346,0.08166211135936108
0.1432589808622467,0.14351348921791726
0.40530899391963915,0.38871681521643164
0.02748142124498985,0.046836356467508874
0.4706475936902117,0.444489863865003
