i,j,feat_i,feat_j,rho0,d_star2,d2_best,amplification
5,10,ask_depth_mean,abs_return_mean_bps,-0.06728638371048071,0.21250091934237475,0.202550265701594,1.0491268357822867
5,11,ask_depth_mean,range_bps,-0.09694119332181234,0.21085428225952632,0.19810258781697637,1.0643691462240312
6,7,log_total_volume,log_max_step_volume,0.9610832504654868,0.24483686233462382,0.13820238969408163,1.7715819739194327
6,8,log_total_volume,realised_vol_bps,0.30674851732702796,0.26551397247442293,0.25134638547683097,1.0563667823219918
6,9,log_total_volume,up_move_freq,0.06543279899379155,0.0802825622848931,0.07132965730979338,1.1255144818124692
6,10,log_total_volume,abs_return_mean_bps,0.30975995365203335,0.2205789657075184,0.202550265701594,1.089008523111419
6,11,log_total_volume,range_bps,0.3242177358649318,0.21494581090106477,0.19810258781697637,1.08502273125099
7,8,log_max_step_volume,realised_vol_bps,0.37485265834602705,0.2906627030712117,0.25134638547683097,1.1564228485712795
7,9,log_max_step_volume,up_move_freq,0.07906727356658742,0.14505126474971589,0.13820238969408163,1.049556849710013
7,10,log_max_step_volume,abs_return_mean_bps,0.36994705960706303,0.25136191885946074,0.202550265701594,1.2409853820176084
7,11,log_max_step_volume,range_bps,0.35340141766260597,0.25066034591542075,0.19810258781697637,1.2653057624214459
8,9,realised_vol_bps,up_move_freq,0.3245365749657271,0.2542321998771648,0.25134638547683097,1.011481423911703
8,10,realised_vol_bps,abs_return_mean_bps,0.9703695352952554,0.27408266474551174,0.25134638547683097,1.0904579519834654
8,11,realised_vol_bps,range_bps,0.8270608782567882,0.2542798214979366,0.25134638547683097,1.0116708900171394
9,10,up_move_freq,abs_return_mean_bps,0.35779644191613535,0.2053190498171726,0.202550265701594,1.0136696148286357
9,11,up_move_freq,range_bps,0.3366771343753723,0.19972760433284192,0.19810258781697637,1.0082029040295368
10,11,abs_return_mean_bps,range_bps,0.8209992008301076,0.22008031933021208,0.202550265701594,1.086546682957425
