rho0,rho1,sigma_eps,n_pos,n_neg,seed,d2_fisher,d2_best_single,amp_analytical,auc_r,auc_c,auc_opt,auc_fix,amp_opt,amp_fix,tpr_fpr_opt,tpr_fpr_fix
0.4,0.0,0.5,200000,200000,2024,5.166387140698427,3.6885245901639343,1.4778625505344931,0.912595794125,0.864652029725,0.95269076155,0.952296100975,0.04009496742499996,0.03970030684999992,0.75305,0.751785
0.4,0.0,0.5,200000,200000,7,5.166387140698427,3.6885245901639343,1.4778625505344931,0.91266380045,0.865488095775,0.952915895975,0.9524948547,0.04025209552500009,0.03983105425,0.753815,0.75229
0.4,0.3,0.0,200000,200000,42,8.928571428571427,6.25,2.678571428571427,0.961880503225,0.96132864535,0.98443927305,0.98259343965,0.022558769825000047,0.02071293642500005,0.918795,0.91021
0.4,0.3,0.0,200000,200000,2024,8.928571428571427,6.25,2.678571428571427,0.96129511385,0.961241324475,0.984272415925,0.9823098544,0.02297730207500004,0.021014740549999966,0.917615,0.907195
0.4,0.3,0.0,200000,200000,7,8.928571428571427,6.25,2.678571428571427,0.961563318775,0.96155242155,0.98432794445,0.98238952015,0.02276462567500004,0.02082620137500002,0.91789,0.9078
0.4,0.3,0.25,200000,200000,42,7.490542839536385,5.325443786982249,2.165099052554136,0.94913313525,0.93288054115,0.9755061412,0.97440628145,0.026373005950000028,0.025273146199999985,0.872045,0.866355
0.4,0.3,0.25,200000,200000,2024,7.490542839536385,5.325443786982249,2.165099052554136,0.9484583732,0.93268503885,0.975206375025,0.974019911925,0.026748001824999923,0.025561538725,0.86942,0.86387
0.4,0.3,0.25,200000,200000,7,7.490542839536385,5.325443786982249,2.165099052554136,0.948790808425,0.933192433425,0.975287700675,0.974124733875,0.02649689225000007,0.025333925450000017,0.869365,0.863765
0.4,0.3,0.5,200000,200000,42,5.166387140698427,3.6885245901639343,1.4778625505344931,0.91336941915,0.865003879425,0.948173377175,0.9479673345,0.034803958025000026,0.03459791535000001,0.740735,0.740775
0.4,0.3,0.5,200000,200000,2024,5.166387140698427,3.6885245901639343,1.4778625505344931,0.912576181975,0.86458573545,0.947554555075,0.9473170146,0.03497837309999996,0.03474083262499994,0.73921,0.73874
0.4,0.3,0.5,200000,200000,7,5.166387140698427,3.6885245901639343,1.4778625505344931,0.913004507675,0.865419366025,0.94768986785,0.947463277375,0.03468536017500001,0.03445876970000006,0.73956,0.738125
0.6,0.0,0.0,200000,200000,42,7.8125,6.25,1.5625,0.961499112,0.961281409925,0.98581889455,0.983841321125,0.024319782550000002,0.022342209124999957,0.927605,0.914505
0.6,0.0,0.0,200000,200000,2024,7.8125,6.25,1.5625,0.961246908925,0.961242551925,0.985795880075,0.983764135075,0.024548971149999987,0.02251722615000007,0.926965,0.914395
0.6,0.0,0.0,200000,200000,7,7.8125,6.25,1.5625,0.961349059875,0.9616392381,0.985895744775,0.98381515195,0.02425650667500001,0.022175913850000062,0.9271,0.91461
0.6,0.0,0.25,200000,200000,42,6.70292512991289,5.325443786982249,1.3774813429306407,0.948674786425,0.932812079175,0.976904409975,0.975725086225,0.028229623550000027,0.027050299799999955,0.87364,0.86699
0.6,0.0,0.25,200000,200000,2024,6.70292512991289,5.325443786982249,1.3774813429306407,0.948419200525,0.9327368355,0.976823890925,0.97560977105,0.028404690400000043,0.02719057052500007,0.8725,0.865575
0.6,0.0,0.25,200000,200000,7,6.70292512991289,5.325443786982249,1.3774813429306407,0.948537890525,0.9332658278,0.97695828575,0.975710180775,0.02842039522499995,0.02717229025000001,0.87276,0.866605
0.6,0.0,0.5,200000,200000,42,4.7980502607209505,3.6885245901639343,1.1095256705570162,0.9127386596,0.8648813743,0.949309177525,0.9491601918,0.03657051792499999,0.036421532199999995,0.732705,0.731845
0.6,0.0,0.5,200000,200000,2024,4.7980502607209505,3.6885245901639343,1.1095256705570162,0.912577982225,0.8647424706,0.94911244275,0.948957491525,0.03653446052499998,0.0363795093,0.730405,0.73045
0.6,0.0,0.5,200000,200000,7,4.7980502607209505,3.6885245901639343,1.1095256705570162,0.912685265125,0.865443713825,0.949338603475,0.949175847625,0.03665333834999995,0.036490582499999924,0.73164,0.731725
